Plant_Name,Temperature_Range(°C),Humidity_Range(%),NPK_Required(mg/kg),Fertilizer_Used,Fertilizer_Bags_per_ha,Fertilizer_Bags_per_sqm,Fertilizer_Bags_per_acre
Bell Pepper,22-30,53-77,105-52-72,DAP,12.65,0.214,7.92
Zucchini,22-30,55-75,90-40-60,Vermicompost,10.65,0.0799,3.54
Bell Pepper,15-22,58-78,100-50-70,NPK 20-20-20,29.26,0.2798,8.6
Eggplant,16-24,65-85,90-40-60,Vermicompost,10.09,0.0658,5.43
Strawberry,19-26,50-70,140-70-90,MOP,15.59,0.2411,3.92
Zucchini,16-24,53-77,95-45-65,Vermicompost,8.3,0.1879,5.58
Spinach,18-Oct,53-77,90-40-60,NPK 20-20-20,9.21,0.2754,10.73
Lettuce,18-25,62-82,125-62-82,Vermicompost,11.39,0.212,7.02
Cucumber,20-28,60-80,140-70-90,DAP,29.09,0.1312,6.61
Tomato,18-25,55-75,105-52-72,Compost,25.13,0.2647,11.46
Strawberry,16-24,50-70,140-70-90,MOP,5.64,0.2793,6.69
Strawberry,16-24,55-75,110-55-75,MOP,10.63,0.1546,4.78
Tomato,20-28,50-72,95-45-65,Ammonium Sulphate,14.66,0.2978,8.54
Eggplant,16-24,60-80,100-50-70,MOP,6.16,0.1115,6.53
Carrot,15-22,58-78,90-40-60,Superphosphate,10.23,0.1573,6.7
Strawberry,19-26,60-80,140-70-90,Vermicompost,5.45,0.2,5.13
Lettuce,22-30,50-72,105-52-72,Urea,11.04,0.117,11.97
Strawberry,14-22,60-80,135-68-88,MOP,21.92,0.1236,9.6
Carrot,18-25,62-82,130-65-85,MOP,26,0.1659,3.67
Zucchini,18-25,50-72,120-60-80,MOP,16.03,0.2126,6.51
Lettuce,14-22,55-75,105-52-72,DAP,11.86,0.265,3.73
Bell Pepper,20-28,65-85,105-52-72,Superphosphate,22.59,0.2563,10.48
Eggplant,16-24,65-85,100-50-70,DAP,8.35,0.1349,11.32
Bell Pepper,21-29,50-70,120-60-80,MOP,13.96,0.2463,3.63
Spinach,19-26,55-75,110-55-75,Vermicompost,16.99,0.119,7.68
Spinach,20-Dec,40-60,140-70-90,Urea,6.6,0.2451,3.04
Strawberry,15-22,55-75,120-60-80,Superphosphate,11.39,0.1664,11.47
Zucchini,16-24,45-65,105-52-72,Ammonium Sulphate,18.06,0.1472,5.65
Carrot,20-Dec,62-82,140-70-90,NPK 20-20-20,23.14,0.1459,3.91
Cucumber,19-26,50-72,100-50-70,NPK 20-20-20,24.74,0.182,7.63
Zucchini,21-29,60-80,110-55-75,Urea,26.49,0.2806,3.37
Zucchini,18-Oct,45-65,140-70-90,NPK 20-20-20,22.06,0.2504,4.16
Zucchini,15-22,50-72,100-50-70,Urea,12.28,0.1715,2.57
Zucchini,18-25,65-85,105-52-72,MOP,12.77,0.1124,8.37
Zucchini,19-26,53-77,100-50-70,MOP,23.1,0.2606,8.81
Broccoli,21-29,62-82,110-55-75,Ammonium Sulphate,29.67,0.1482,4.89
Tomato,18-25,65-85,135-68-88,Compost,15.38,0.0823,8.84
Lettuce,18-25,50-72,90-40-60,NPK 20-20-20,6.99,0.2589,10.92
Tomato,19-26,53-77,100-50-70,NPK 20-20-20,13.03,0.0918,5.59
Carrot,18-Oct,53-77,135-68-88,MOP,26.9,0.1729,7.34
Cucumber,15-22,65-85,140-70-90,MOP,24.34,0.24,8.72
Broccoli,16-24,55-75,110-55-75,Superphosphate,27.11,0.1544,11.66
Tomato,16-24,50-70,130-65-85,Urea,13.86,0.2691,3.5
Cucumber,19-26,58-78,125-62-82,MOP,17.26,0.121,5.22
Eggplant,20-28,50-70,120-60-80,Ammonium Sulphate,10.32,0.1283,8.37
Carrot,18-Oct,50-70,90-40-60,Superphosphate,15.99,0.2472,5.69
Spinach,14-22,65-85,140-70-90,Vermicompost,29.56,0.2658,5.83
Zucchini,18-25,50-70,135-68-88,DAP,18.77,0.1936,6.99
Lettuce,16-24,58-78,100-50-70,NPK 20-20-20,20.69,0.2504,11.62
Eggplant,20-Dec,58-78,110-55-75,Compost,23.65,0.1346,4.25
Bell Pepper,20-Dec,40-60,95-45-65,Compost,8.25,0.2237,3.72
Cucumber,14-22,62-82,140-70-90,NPK 20-20-20,12.92,0.2227,9.16
Tomato,19-26,62-82,135-68-88,NPK 20-20-20,14.01,0.2655,5.62
Carrot,22-30,65-85,110-55-75,NPK 20-20-20,27.04,0.1156,2.11
Carrot,15-22,50-70,95-45-65,Urea,10.06,0.1372,10.89
Lettuce,16-24,45-65,130-65-85,MOP,10.57,0.2345,11.13
Bell Pepper,16-24,50-70,135-68-88,Ammonium Sulphate,11.62,0.0548,2.95
Bell Pepper,20-28,65-85,95-45-65,Ammonium Sulphate,23.22,0.2561,8.21
Bell Pepper,18-Oct,55-75,120-60-80,Urea,21.85,0.0948,4.48
Spinach,14-22,58-78,130-65-85,Superphosphate,11.2,0.291,5.03
Lettuce,19-26,62-82,95-45-65,Urea,6.29,0.083,3.09
Carrot,18-Oct,60-80,125-62-82,Urea,13.93,0.1827,10
Lettuce,18-25,53-77,125-62-82,MOP,12.09,0.1277,3.38
Zucchini,18-Oct,55-75,130-65-85,Ammonium Sulphate,22.85,0.2357,7.9
Zucchini,18-25,40-60,110-55-75,NPK 20-20-20,19.28,0.1204,8.44
Strawberry,20-Dec,65-85,130-65-85,Urea,21.12,0.2179,7.55
Spinach,21-29,50-70,105-52-72,Ammonium Sulphate,27.96,0.2407,9.25
Eggplant,22-30,40-60,130-65-85,NPK 20-20-20,20.07,0.1113,4.28
Tomato,15-22,55-75,105-52-72,DAP,16.11,0.1933,5.42
Carrot,21-29,45-65,95-45-65,Urea,25.53,0.0567,11
Strawberry,15-22,62-82,90-40-60,Ammonium Sulphate,23.84,0.1959,6.53
Lettuce,22-30,60-80,125-62-82,Superphosphate,24.02,0.1473,9.12
Broccoli,18-25,65-85,90-40-60,MOP,12.05,0.1154,9.34
Tomato,16-24,40-60,125-62-82,Urea,5.94,0.0827,9.34
Carrot,18-Oct,53-77,95-45-65,Compost,28.16,0.0586,7.72
Zucchini,20-28,50-70,125-62-82,MOP,9.97,0.073,7.59
Tomato,21-29,40-60,125-62-82,NPK 20-20-20,10.36,0.1659,11.47
Cucumber,14-22,50-72,125-62-82,Urea,27.24,0.2146,7.53
Broccoli,18-25,60-80,120-60-80,DAP,29.51,0.1617,10.81
Broccoli,14-22,40-60,110-55-75,NPK 20-20-20,21.43,0.1056,7.91
Carrot,19-26,53-77,130-65-85,Ammonium Sulphate,6.9,0.2264,8.5
Cucumber,20-28,40-60,140-70-90,DAP,28.14,0.2302,6.89
Tomato,20-28,58-78,100-50-70,Ammonium Sulphate,25.43,0.1948,2.98
Broccoli,16-24,55-75,140-70-90,Vermicompost,18.48,0.1536,4.64
Bell Pepper,14-22,50-72,135-68-88,Ammonium Sulphate,26.41,0.2142,10.96
Cucumber,21-29,60-80,100-50-70,Vermicompost,5.97,0.2506,3.11
Carrot,18-25,55-75,135-68-88,Compost,21.18,0.1147,3.75
Tomato,19-26,50-72,135-68-88,DAP,8.3,0.1149,7.79
Strawberry,20-Dec,60-80,105-52-72,MOP,7.58,0.2643,10.49
Zucchini,20-28,58-78,130-65-85,NPK 20-20-20,26.23,0.1814,11.2
Zucchini,16-24,65-85,130-65-85,Ammonium Sulphate,13.84,0.2476,9.05
Lettuce,14-22,40-60,135-68-88,Compost,16.99,0.2982,9.41
Carrot,16-24,40-60,135-68-88,DAP,8.6,0.2735,8.52
Cucumber,16-24,50-70,100-50-70,MOP,29.04,0.1329,9.84
Tomato,18-25,55-75,95-45-65,Ammonium Sulphate,7.3,0.2164,3.29
Zucchini,14-22,50-72,140-70-90,Ammonium Sulphate,27.68,0.2121,11.84
Broccoli,14-22,55-75,90-40-60,Compost,29.94,0.1278,7.02
Eggplant,21-29,55-75,95-45-65,Vermicompost,25.27,0.2167,7.41
Strawberry,16-24,53-77,90-40-60,DAP,15.76,0.1348,8.39
Carrot,14-22,50-72,95-45-65,Vermicompost,20.49,0.2567,2.06
Spinach,18-25,62-82,105-52-72,MOP,7.2,0.1874,4.91
Tomato,22-30,55-75,100-50-70,Ammonium Sulphate,25.53,0.0822,7.4
Eggplant,19-26,40-60,125-62-82,Urea,28.55,0.0941,6.33
Tomato,16-24,58-78,110-55-75,Compost,27.54,0.2046,7.18
Zucchini,16-24,40-60,140-70-90,Ammonium Sulphate,19.34,0.286,9.6
Strawberry,18-Oct,40-60,130-65-85,Urea,5.87,0.148,6.49
Tomato,19-26,50-70,110-55-75,Ammonium Sulphate,22.03,0.1597,11.89
Strawberry,20-Dec,58-78,140-70-90,Superphosphate,9.63,0.1676,3.63
Eggplant,14-22,50-70,130-65-85,MOP,7.8,0.1836,7.03
Zucchini,19-26,55-75,120-60-80,Compost,17.16,0.0844,4.39
Broccoli,18-Oct,60-80,135-68-88,Vermicompost,8,0.152,7.08
Broccoli,18-Oct,50-72,90-40-60,DAP,14.86,0.1877,7.5
Carrot,21-29,50-72,135-68-88,DAP,6.24,0.2849,8.35
Spinach,22-30,45-65,110-55-75,Urea,10.38,0.2326,3.28
Eggplant,22-30,40-60,110-55-75,Ammonium Sulphate,9.21,0.1416,9.73
Bell Pepper,21-29,53-77,95-45-65,Ammonium Sulphate,14.11,0.1342,9.65
Broccoli,16-24,40-60,130-65-85,Ammonium Sulphate,12.73,0.2937,3.82
Tomato,22-30,55-75,135-68-88,Urea,18.76,0.2577,9.43
Bell Pepper,18-Oct,40-60,135-68-88,Superphosphate,23.38,0.2498,2.71
Cucumber,22-30,40-60,110-55-75,MOP,16.95,0.0729,6.54
Spinach,21-29,50-70,125-62-82,Ammonium Sulphate,7.8,0.2481,5.96
Lettuce,18-25,50-72,95-45-65,Superphosphate,25.72,0.1948,3.95
Bell Pepper,22-30,45-65,135-68-88,Vermicompost,13.43,0.261,10
Broccoli,14-22,40-60,110-55-75,Urea,25.29,0.261,3.18
Carrot,20-Dec,65-85,125-62-82,MOP,7.94,0.1978,11.97
Strawberry,18-25,50-72,120-60-80,Compost,5.94,0.1667,4.96
Tomato,16-24,53-77,120-60-80,Compost,16.93,0.0907,2.89
Zucchini,21-29,40-60,135-68-88,Vermicompost,16.16,0.0609,10.08
Cucumber,22-30,58-78,90-40-60,NPK 20-20-20,7.25,0.0816,4.76
Zucchini,18-Oct,55-75,120-60-80,DAP,12.11,0.1682,6.25
Carrot,20-28,58-78,120-60-80,Compost,21.86,0.1012,3.17
Broccoli,20-28,50-72,105-52-72,MOP,15.34,0.1361,9.22
Eggplant,20-28,55-75,120-60-80,Vermicompost,16.69,0.2125,9.31
Broccoli,19-26,62-82,140-70-90,Superphosphate,15.46,0.0707,6.12
Broccoli,20-Dec,40-60,105-52-72,Ammonium Sulphate,8.72,0.1226,7.35
Zucchini,18-Oct,55-75,135-68-88,MOP,14.69,0.2797,11.88
Broccoli,22-30,40-60,130-65-85,DAP,17.17,0.1769,6.28
Eggplant,18-Oct,45-65,110-55-75,Compost,23.59,0.0931,5.46
Lettuce,20-Dec,55-75,120-60-80,Urea,10.04,0.1284,11.59
Bell Pepper,19-26,50-70,120-60-80,NPK 20-20-20,26.32,0.1085,8.34
Spinach,18-Oct,45-65,140-70-90,Vermicompost,9.46,0.1552,2.09
Zucchini,20-Dec,45-65,140-70-90,NPK 20-20-20,25.23,0.1263,8.73
Strawberry,16-24,62-82,135-68-88,NPK 20-20-20,15.54,0.2572,2.83
Strawberry,20-Dec,60-80,95-45-65,Compost,10.4,0.1921,2.28
Carrot,20-Dec,65-85,135-68-88,Ammonium Sulphate,21.31,0.1822,8.47
Cucumber,18-Oct,50-72,95-45-65,DAP,8.13,0.2153,8.64
Cucumber,14-22,40-60,100-50-70,MOP,20.76,0.1923,9.82
Broccoli,18-Oct,50-70,110-55-75,MOP,11.34,0.0845,5.35
Carrot,16-24,58-78,140-70-90,NPK 20-20-20,21.7,0.2422,9.2
Lettuce,20-28,50-72,90-40-60,NPK 20-20-20,18.59,0.1191,6.7
Spinach,20-Dec,50-70,90-40-60,Urea,21.95,0.1577,6.44
Bell Pepper,18-Oct,55-75,110-55-75,NPK 20-20-20,16.14,0.1913,7.75
Spinach,15-22,45-65,90-40-60,Ammonium Sulphate,22.41,0.1181,10.44
Carrot,18-25,65-85,90-40-60,Urea,26.25,0.0825,10.7
Eggplant,18-Oct,45-65,95-45-65,Compost,12.9,0.0739,6.34
Zucchini,19-26,62-82,105-52-72,Vermicompost,12.14,0.2429,11.67
Carrot,20-Dec,53-77,135-68-88,DAP,6.69,0.1179,8.55
Cucumber,18-Oct,50-70,105-52-72,Ammonium Sulphate,29.16,0.274,4.9
Broccoli,21-29,40-60,125-62-82,Urea,8.57,0.1013,7.47
Spinach,15-22,53-77,100-50-70,Urea,15.28,0.0584,7.89
Spinach,19-26,50-70,105-52-72,Urea,5.03,0.2726,3.62
Strawberry,21-29,50-72,100-50-70,Ammonium Sulphate,26.16,0.272,5.45
Lettuce,18-Oct,62-82,110-55-75,DAP,7.23,0.1494,11.41
Spinach,18-Oct,40-60,100-50-70,Ammonium Sulphate,15.71,0.1531,10.79
Bell Pepper,14-22,45-65,110-55-75,Superphosphate,8.35,0.2931,4.67
Broccoli,16-24,60-80,100-50-70,Vermicompost,12.57,0.0705,6.64
Carrot,15-22,58-78,120-60-80,MOP,20.89,0.0574,2.56
Zucchini,15-22,50-72,105-52-72,MOP,29.33,0.1091,8.35
Lettuce,18-Oct,60-80,110-55-75,DAP,11.17,0.0778,9.12
Eggplant,16-24,53-77,120-60-80,Urea,14.83,0.1998,9.04
Carrot,19-26,40-60,120-60-80,Superphosphate,16.17,0.1088,3.75
Spinach,20-28,40-60,120-60-80,Ammonium Sulphate,18.67,0.2941,5.57
Zucchini,22-30,53-77,135-68-88,Superphosphate,18.77,0.2098,3.62
Strawberry,20-Dec,45-65,130-65-85,Ammonium Sulphate,5.89,0.242,11.16
Broccoli,22-30,50-70,110-55-75,Vermicompost,13.72,0.2816,11.29
Carrot,16-24,55-75,95-45-65,MOP,14.59,0.1559,7.13
Cucumber,19-26,55-75,140-70-90,Vermicompost,17.09,0.2066,8.75
Tomato,21-29,58-78,130-65-85,DAP,6.06,0.2385,8.93
Zucchini,22-30,65-85,105-52-72,MOP,20.55,0.1714,6.07
Tomato,14-22,60-80,130-65-85,MOP,9.29,0.0802,8.44
Broccoli,18-25,60-80,135-68-88,Superphosphate,18.14,0.1276,11.78
Strawberry,14-22,65-85,100-50-70,MOP,8.88,0.1031,8.72
Bell Pepper,18-25,55-75,135-68-88,NPK 20-20-20,21.05,0.0626,3.31
Zucchini,19-26,55-75,120-60-80,DAP,29.43,0.0518,11.59
Eggplant,21-29,65-85,100-50-70,NPK 20-20-20,11.84,0.1703,11.06
Broccoli,18-Oct,65-85,90-40-60,Superphosphate,18.29,0.1955,2.84
Carrot,15-22,40-60,135-68-88,MOP,25.79,0.2736,10.36
Bell Pepper,22-30,50-72,110-55-75,Compost,19.04,0.2733,10.1
Bell Pepper,22-30,55-75,130-65-85,Compost,22.99,0.1191,8.75
Cucumber,18-Oct,55-75,135-68-88,Compost,11.59,0.0565,7.32
Tomato,19-26,50-72,110-55-75,Urea,9.68,0.2115,6.23
Eggplant,20-28,55-75,90-40-60,Superphosphate,16.32,0.2873,3.98
Spinach,20-Dec,45-65,105-52-72,MOP,19.45,0.1339,4.97
Bell Pepper,18-Oct,40-60,95-45-65,Compost,24.83,0.276,9.61
Strawberry,18-Oct,60-80,95-45-65,DAP,5.29,0.218,8.6
Zucchini,20-28,58-78,105-52-72,Superphosphate,17.46,0.2119,7.08
Strawberry,15-22,53-77,90-40-60,Vermicompost,13.23,0.135,5.83
Zucchini,18-Oct,45-65,130-65-85,Urea,6.3,0.0645,8.88
Strawberry,22-30,40-60,140-70-90,Vermicompost,24.79,0.1317,9.13
Lettuce,21-29,62-82,120-60-80,DAP,14.13,0.124,9.48
Zucchini,16-24,40-60,105-52-72,Ammonium Sulphate,28.26,0.2134,6.46
Broccoli,22-30,40-60,125-62-82,Compost,10.54,0.1913,8.09
Broccoli,14-22,60-80,120-60-80,NPK 20-20-20,11.42,0.2541,10.24
Eggplant,20-Dec,65-85,90-40-60,MOP,11.9,0.2062,9.16
Eggplant,20-Dec,40-60,100-50-70,Compost,7.98,0.2025,8.07
Cucumber,14-22,55-75,100-50-70,NPK 20-20-20,22,0.1557,7.88
Lettuce,16-24,62-82,105-52-72,MOP,29.29,0.2548,5.69
Zucchini,20-28,62-82,110-55-75,Urea,20.32,0.2482,5.16
Zucchini,21-29,40-60,110-55-75,Vermicompost,22.6,0.0978,8.75
Eggplant,21-29,45-65,125-62-82,DAP,11.14,0.0958,9.31
Carrot,22-30,60-80,120-60-80,Ammonium Sulphate,8.02,0.0883,4.44
Strawberry,16-24,62-82,135-68-88,Compost,15.3,0.2082,6.34
Strawberry,22-30,62-82,140-70-90,NPK 20-20-20,10.3,0.1189,10.01
Tomato,18-25,50-72,110-55-75,Compost,20.27,0.2429,6.16
Strawberry,15-22,58-78,110-55-75,Compost,10.78,0.1326,9.51
Broccoli,19-26,50-72,105-52-72,Superphosphate,13,0.2505,5.76
Carrot,20-Dec,53-77,120-60-80,Superphosphate,25.34,0.0661,11.36
Broccoli,14-22,45-65,140-70-90,MOP,29.49,0.0572,11.88
Broccoli,20-28,45-65,90-40-60,Vermicompost,16.73,0.1983,2.46
Broccoli,20-Dec,53-77,130-65-85,Vermicompost,6.68,0.1579,4.41
Bell Pepper,21-29,50-72,120-60-80,Ammonium Sulphate,16.3,0.2906,4.06
Zucchini,16-24,45-65,130-65-85,Vermicompost,27.53,0.228,9.69
Spinach,20-Dec,50-70,105-52-72,Urea,17.16,0.2002,11.95
Eggplant,21-29,58-78,125-62-82,Vermicompost,8.53,0.2651,5.1
Carrot,20-Dec,60-80,110-55-75,NPK 20-20-20,20.39,0.1084,9.55
Zucchini,20-Dec,62-82,120-60-80,Compost,9.15,0.1702,6.06
Bell Pepper,19-26,58-78,90-40-60,DAP,14.06,0.2313,6.41
Zucchini,21-29,62-82,125-62-82,Superphosphate,11.38,0.1099,6.27
Carrot,18-Oct,55-75,120-60-80,Vermicompost,14.87,0.194,11.58
Spinach,15-22,50-72,140-70-90,Urea,13.71,0.2003,7
Zucchini,19-26,50-70,135-68-88,Superphosphate,10.32,0.2573,6.09
Spinach,21-29,45-65,125-62-82,Urea,10.96,0.2677,9.77
Tomato,20-28,45-65,140-70-90,Urea,18.66,0.1707,8.79
Cucumber,18-25,50-72,105-52-72,MOP,16.31,0.0967,8.49
Cucumber,21-29,55-75,125-62-82,DAP,5.46,0.1409,2.5
Strawberry,18-Oct,50-72,95-45-65,DAP,19.74,0.2055,8.88
Zucchini,18-25,65-85,95-45-65,MOP,23.67,0.1907,7.93
Broccoli,18-Oct,45-65,120-60-80,Vermicompost,15.84,0.196,10.42
Eggplant,15-22,40-60,100-50-70,Vermicompost,10.03,0.2358,10.77
Bell Pepper,20-Dec,65-85,140-70-90,Vermicompost,20.31,0.1566,6.38
Broccoli,22-30,50-70,135-68-88,Vermicompost,23.2,0.1434,6.9
Tomato,20-Dec,55-75,105-52-72,NPK 20-20-20,14.92,0.0585,2.27
Carrot,19-26,60-80,105-52-72,Superphosphate,21.93,0.0625,3.3
Eggplant,16-24,45-65,120-60-80,NPK 20-20-20,17.12,0.07,6.97
Eggplant,20-Dec,60-80,120-60-80,Urea,25.27,0.2133,8.25
Spinach,18-25,45-65,130-65-85,Compost,12.78,0.1096,9.7
Bell Pepper,19-26,53-77,130-65-85,NPK 20-20-20,9.37,0.188,4.34
Tomato,16-24,55-75,135-68-88,Ammonium Sulphate,19.35,0.2526,5.06
Carrot,18-Oct,53-77,125-62-82,NPK 20-20-20,20.78,0.1412,6.38
Spinach,18-Oct,45-65,105-52-72,MOP,12.26,0.1707,5.74
Zucchini,15-22,60-80,130-65-85,Urea,14.01,0.1029,2.01
Cucumber,16-24,45-65,110-55-75,NPK 20-20-20,22.59,0.0755,8.86
Tomato,20-28,50-70,140-70-90,Vermicompost,23.66,0.2763,8.95
Tomato,20-28,45-65,95-45-65,Compost,15.8,0.075,2.33
Zucchini,22-30,58-78,105-52-72,Superphosphate,25.78,0.161,11
Broccoli,18-25,55-75,105-52-72,Superphosphate,20.89,0.0721,7.4
Broccoli,20-28,62-82,130-65-85,MOP,20.39,0.209,6.43
Bell Pepper,22-30,58-78,90-40-60,Ammonium Sulphate,22.59,0.0537,9.21
Eggplant,15-22,45-65,125-62-82,MOP,26.58,0.1583,5.75
Broccoli,15-22,40-60,130-65-85,Urea,21.8,0.0601,10.66
Strawberry,21-29,58-78,100-50-70,NPK 20-20-20,10.94,0.2023,3.06
Bell Pepper,16-24,62-82,130-65-85,Ammonium Sulphate,11.06,0.2563,11.45
Eggplant,18-Oct,58-78,95-45-65,Superphosphate,16.04,0.0585,8.79
Bell Pepper,18-25,45-65,100-50-70,MOP,27.75,0.285,3.29
Cucumber,15-22,50-70,110-55-75,Compost,7.18,0.1349,2.41
Spinach,18-Oct,53-77,140-70-90,NPK 20-20-20,6.28,0.14,8.44
Lettuce,15-22,60-80,110-55-75,Urea,15.57,0.2922,8.22
Bell Pepper,22-30,50-72,135-68-88,DAP,7.46,0.1543,5.51
Strawberry,20-28,60-80,135-68-88,DAP,13.83,0.1712,6.77
Carrot,22-30,62-82,125-62-82,DAP,25.92,0.1404,10.67
Carrot,21-29,50-72,130-65-85,MOP,14.66,0.1093,11.72
Cucumber,16-24,53-77,100-50-70,MOP,15.96,0.2315,11
Zucchini,20-28,58-78,130-65-85,Urea,15.03,0.1031,5.29
Carrot,22-30,65-85,110-55-75,MOP,6.66,0.1429,8.81
Spinach,15-22,60-80,120-60-80,Ammonium Sulphate,8.57,0.2086,12
Lettuce,15-22,60-80,110-55-75,Ammonium Sulphate,14.02,0.276,10.06
Lettuce,19-26,40-60,130-65-85,Urea,23.34,0.0657,4.32
Broccoli,14-22,53-77,125-62-82,Urea,6.59,0.2506,5
Lettuce,22-30,50-72,125-62-82,Superphosphate,22.44,0.1116,4.01
Strawberry,20-28,60-80,120-60-80,DAP,29.2,0.1179,8.47
Carrot,18-Oct,53-77,100-50-70,Vermicompost,7.76,0.2961,7.57
Cucumber,20-28,55-75,90-40-60,Urea,27.71,0.0807,9.25
Zucchini,15-22,65-85,135-68-88,MOP,27.06,0.2912,7.13
Tomato,22-30,62-82,100-50-70,DAP,7.71,0.1708,2.68
Carrot,21-29,60-80,125-62-82,NPK 20-20-20,26.54,0.2555,8.42
Broccoli,18-Oct,50-72,135-68-88,NPK 20-20-20,11.44,0.2679,10
Bell Pepper,14-22,60-80,110-55-75,MOP,13.46,0.0819,11.38
Tomato,19-26,62-82,140-70-90,Urea,25.16,0.2251,7.53
Eggplant,18-25,50-70,125-62-82,MOP,27.37,0.2818,9.91
Carrot,14-22,45-65,105-52-72,Urea,19.96,0.1181,4.59
Cucumber,14-22,62-82,110-55-75,Urea,20.06,0.2405,6.56
Zucchini,19-26,65-85,120-60-80,Superphosphate,21.57,0.215,11.59
Broccoli,16-24,60-80,95-45-65,Ammonium Sulphate,18.9,0.293,5.09
Spinach,18-Oct,62-82,90-40-60,DAP,5.17,0.111,8.91
Zucchini,15-22,50-72,130-65-85,Urea,14.68,0.2198,3.38
Bell Pepper,16-24,55-75,125-62-82,DAP,17.78,0.2613,9.62
Eggplant,16-24,55-75,120-60-80,DAP,29.45,0.2717,10.13
Cucumber,19-26,55-75,120-60-80,Compost,25.65,0.2269,8.14
Cucumber,22-30,50-72,120-60-80,NPK 20-20-20,5.22,0.2971,4.74
Spinach,22-30,50-72,125-62-82,Ammonium Sulphate,23.82,0.0921,6.65
Cucumber,14-22,50-72,140-70-90,Compost,29,0.2694,3.13
Strawberry,18-Oct,40-60,105-52-72,NPK 20-20-20,20.56,0.0582,6.08
Spinach,19-26,45-65,100-50-70,Vermicompost,7.49,0.0939,11.52
Lettuce,19-26,53-77,130-65-85,Urea,11.21,0.2697,4.54
Zucchini,15-22,53-77,120-60-80,DAP,12.62,0.279,4.49
Eggplant,15-22,55-75,120-60-80,Vermicompost,9.97,0.1039,9.02
Zucchini,20-Dec,55-75,130-65-85,Compost,28.5,0.1211,3.47
Cucumber,18-Oct,40-60,90-40-60,NPK 20-20-20,25.62,0.2408,2.94
Zucchini,14-22,60-80,90-40-60,MOP,7.91,0.2393,11.3
Strawberry,21-29,45-65,95-45-65,DAP,6.78,0.2622,3.05
Zucchini,21-29,65-85,130-65-85,Superphosphate,24.96,0.2861,2.85
Eggplant,18-Oct,62-82,135-68-88,NPK 20-20-20,14.74,0.2805,3
Broccoli,15-22,58-78,110-55-75,Urea,25.88,0.0688,3.5
Carrot,21-29,55-75,90-40-60,Urea,16.03,0.1737,6.4
Tomato,19-26,62-82,140-70-90,Compost,19.22,0.0799,8.72
Spinach,15-22,65-85,130-65-85,NPK 20-20-20,8.92,0.1355,2.14
Spinach,18-25,62-82,110-55-75,MOP,14.5,0.2518,4.54
Broccoli,21-29,55-75,100-50-70,DAP,6.55,0.1857,6.41
Spinach,14-22,50-72,125-62-82,Superphosphate,16.75,0.1606,2.12
Strawberry,20-28,62-82,100-50-70,Superphosphate,29.07,0.1917,10.26
Strawberry,22-30,45-65,125-62-82,Superphosphate,17.16,0.0823,2.57
Carrot,20-28,55-75,110-55-75,Superphosphate,12.29,0.1388,3.72
Cucumber,22-30,62-82,140-70-90,MOP,5.15,0.0625,2.44
Carrot,18-25,60-80,125-62-82,Urea,17.13,0.0637,10.78
Carrot,22-30,45-65,125-62-82,Urea,15.74,0.1292,4.57
Cucumber,18-25,50-72,125-62-82,DAP,24.07,0.2639,9.66
Eggplant,18-Oct,58-78,130-65-85,Ammonium Sulphate,19.48,0.1569,9.55
Cucumber,20-28,40-60,90-40-60,Compost,24,0.1071,2.67
Broccoli,22-30,53-77,120-60-80,Ammonium Sulphate,29.6,0.2527,8.34
Eggplant,21-29,40-60,130-65-85,MOP,22.3,0.0531,2.47
Spinach,16-24,50-70,90-40-60,Vermicompost,8.79,0.1864,6.28
Zucchini,21-29,50-72,90-40-60,DAP,16.54,0.1012,7.39
Lettuce,19-26,50-72,140-70-90,NPK 20-20-20,19.5,0.2138,9.57
Carrot,18-Oct,65-85,135-68-88,Ammonium Sulphate,7.68,0.1696,9.66
Tomato,22-30,53-77,95-45-65,Compost,25.52,0.2616,8.34
Tomato,22-30,55-75,125-62-82,Superphosphate,17,0.0628,2.7
Broccoli,15-22,55-75,140-70-90,NPK 20-20-20,22.03,0.0693,8.27
Zucchini,22-30,40-60,140-70-90,Vermicompost,25.36,0.1082,4.97
Lettuce,21-29,45-65,120-60-80,Urea,11.03,0.2214,10.4
Eggplant,20-Dec,40-60,110-55-75,DAP,27.05,0.2348,3.53
Tomato,20-28,60-80,90-40-60,NPK 20-20-20,20.27,0.1023,9.05
Tomato,22-30,65-85,105-52-72,Compost,28.99,0.1876,6.81
Cucumber,16-24,60-80,110-55-75,NPK 20-20-20,5.85,0.1948,10.07
Broccoli,20-Dec,50-72,105-52-72,DAP,11.48,0.186,8.09
Zucchini,20-Dec,50-70,120-60-80,DAP,23.17,0.2322,8.55
Cucumber,14-22,53-77,140-70-90,NPK 20-20-20,25.04,0.1984,7.53
Tomato,18-Oct,55-75,100-50-70,Urea,5.76,0.1231,2.7
Tomato,18-Oct,50-70,125-62-82,Ammonium Sulphate,17.64,0.0907,4.48
Tomato,20-28,50-72,95-45-65,Urea,23.95,0.0779,7.32
Zucchini,18-Oct,65-85,90-40-60,Compost,14.01,0.1667,10.71
Tomato,22-30,40-60,130-65-85,Ammonium Sulphate,6.21,0.1254,11.7
Eggplant,20-Dec,45-65,110-55-75,Ammonium Sulphate,18.11,0.0684,9.96
